# Honest_blocks Fraudolent_blocks Cycle 
0            0            1
0            0            2
0            1            3
0            1            4
1            1            5
1            2            6
2            1            7
2            1            8
2            1            9
2            1            10
2            1            11
2            1            12
2            1            13
2            1            14
2            1            15
2            1            16
2            1            17
2            1            18
2            1            19
2            1            20
2            1            21
2            1            22
2            1            23
1            3            24
1            3            25
1            3            26
1            3            27
1            3            28
1            3            29
1            3            30
