# Honest_blocks Fraudolent_blocks Cycle 
0            0            1
0            1            2
0            2            3
0            3            4
0            4            5
0            5            6
0            6            7
0            7            8
0            8            9
0            9            10
0            10            11
0            11            12
0            12            13
0            13            14
0            14            15
0            14            16
0            15            17
0            16            18
0            17            19
0            18            20
0            19            21
0            20            22
0            21            23
0            23            24
0            24            25
0            25            26
0            27            27
0            28            28
0            29            29
0            30            30
