# Honest_blocks Fraudolent_blocks Cycle 
0            0            1
1            0            2
2            0            3
3            0            4
3            0            5
4            0            6
5            0            7
7            0            8
8            0            9
9            0            10
10            0            11
11            0            12
12            0            13
12            0            14
13            0            15
13            0            16
14            0            17
14            0            18
14            0            19
14            0            20
14            0            21
14            0            22
14            0            23
14            0            24
14            0            25
14            0            26
14            0            27
14            0            28
14            0            29
14            0            30
