# Cycle Honest_Blocks  Fraudolent_Blocks 
1     0     0
2     0     1
3     0     2
4     0     2
5     0     3
6     0     4
7     0     5
8     0     6
9     0     7
10     0     8
11     0     9
12     0     10
13     0     11
14     0     12
15     0     13
16     0     14
17     0     14
18     0     16
19     0     16
20     0     17
21     0     18
22     0     19
23     0     20
24     0     21
25     0     22
26     0     24
27     0     25
28     0     26
29     0     26
30     0     30
